Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 11/29  05:00:00,17.992399146494667,0.0,0.0,-2.3082906975295049 
 11/29  06:00:00,17.904922356473258,0.0,0.0,-2.3275080877273845 
 11/29  07:00:00,17.81807471487542,0.0,0.0,-2.34674188157225 
 11/29  08:00:00,17.75824283603574,0.0,0.0,-2.3613076596721607 
 11/29  09:00:00,16.764690445442139,0.0,0.0,-2.5264239235562919 
 11/29  10:00:00,16.568585795853328,0.0,0.0,-2.611951786649715 
 11/29  11:00:00,16.576822153352773,0.0,0.0,-2.61022058686978 
 11/29  12:00:00,16.578739699627037,0.0,0.0,-2.607663944799166 
 11/29  13:00:00,16.94497351250475,0.0,0.0,-2.5642058778197449 
 11/29  14:00:00,17.919244187627819,0.0,0.0,-2.3552782045649987 
 11/29  15:00:00,16.924790875589577,0.0,0.0,-2.4856830780068916 
 11/29  16:00:00,16.748744785798708,0.0,0.0,-2.5682109435273494 
 11/29  17:00:00,16.747867367138015,0.0,0.0,-2.5698275310526115 
 11/29  18:00:00,16.71193741868571,0.0,0.0,-2.5808529664357295 
 11/29  19:00:00,16.629493395248379,0.0,0.0,-2.604433593600952 
 11/29  20:00:00,16.560297990021664,0.0,0.0,-2.6254717489525007 
 11/29  21:00:00,16.488145471133636,0.0,0.0,-2.645995347525863 
 11/29  22:00:00,16.41334970699678,0.0,0.0,-2.668573486871031 
 11/29  23:00:00,17.463208217222947,0.0,0.0,-2.4991336606881968 
 11/29  24:00:00,17.728636838852294,0.0,0.0,-2.394565943021018 
 11/30  01:00:00,17.562704568393717,0.0,0.0,-2.4197134588352484 
 11/30  02:00:00,17.4695341939339,0.0,0.0,-2.4422416426325048 
