Date/Time,BEDROOM2.2:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BEDROOM2.2:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),BEDROOM2.2:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/06  01:00:00,1986290.6762307957,5.805387835626603,-1.0163258872241859 
 01/06  02:00:00,1984331.5734486413,2.42494024860207e-8,-1.0088842353234565 
 01/06  03:00:00,1940397.144942163,8.748202162678354e-8,-1.0009894638035686 
 01/06  04:00:00,1909237.8760853064,3.4992808650713417e-8,-0.9934393715917809 
 01/06  05:00:00,1895264.5298211508,1.5859313862165437e-8,-0.9865135783111941 
 01/06  06:00:00,1878289.4296535706,2.0156676328042523e-8,-0.9801473167230085 
 01/06  07:00:00,1863210.518511302,5.0954440666828307e-8,-0.9748138086789826 
 01/06  08:00:00,0.0,0.0,-1.4798203574782474 
 01/06  09:00:00,0.0,0.0,-1.7875986879416537 
 01/06  10:00:00,0.0,0.0,-1.785168697949548 
 01/06  11:00:00,0.0,0.0,-1.7716979070750203 
 01/06  12:00:00,0.0,0.0,-1.7547089424062264 
 01/06  13:00:00,0.0,0.0,-1.7295763313612199 
 01/06  14:00:00,0.0,0.0,-1.6909990824804584 
 01/06  15:00:00,0.0,0.0,-1.6494700860453875 
 01/06  16:00:00,0.0,0.0,-1.5953094687731567 
 01/06  17:00:00,0.0,0.0,-1.55849380421721 
 01/06  18:00:00,0.0,0.0,-1.5687662794175064 
 01/06  19:00:00,0.0,0.0,-1.6029512399837019 
 01/06  20:00:00,0.0,0.0,-1.6244474999695323 
 01/06  21:00:00,0.0,0.0,-1.6555401095496374 
 01/06  22:00:00,2525620.7356113058,6.675747954432154e-8,-1.1717743909985435 
 01/06  23:00:00,1814907.265038662,1.0022063179349061e-7,-1.0023544814989305 
 01/06  24:00:00,1714105.2483656295,1.652438186283689e-8,-0.9916296194584172 
 01/07  01:00:00,1908308.8143166297,6.95899871061556e-8,-0.9865877044894381 
 01/07  02:00:00,1922453.820606571,8.369624993065372e-8,-0.9835092102452328 
 01/07  03:00:00,1951041.4337447184,3.2741809263825418e-9,-0.9831376248703161 
 01/07  04:00:00,1996269.653055923,7.49992068449501e-8,-0.9845557598290213 
 01/07  05:00:00,2057081.435449022,1.133685145759955e-7,-0.9880082449112447 
 01/07  06:00:00,2115322.0707244805,4.1745806811377409e-8,-0.9931450674302406 
 01/07  07:00:00,2162669.9496320255,7.571543392259628e-9,-0.9984450220194314 
 01/07  08:00:00,0.0,0.0,-1.6398462010048507 
 01/07  09:00:00,0.0,0.0,-1.9864611967352528 
 01/07  10:00:00,0.0,0.0,-2.0129518492974909 
 01/07  11:00:00,0.0,0.0,-2.016348231648329 
 01/07  12:00:00,0.0,0.0,-1.9971011324267308 
 01/07  13:00:00,0.0,0.0,-1.9503346616627462 
 01/07  14:00:00,0.0,0.0,-1.8747453238239543 
